"Date","Provider_Type","Category","Complaints"
"02/28/2026","Non-Transportation","IT/Technology","1"
"02/28/2026","Other/Unidentified Provider",,"13"
"02/28/2026","Broker","Driver","3"
"02/28/2026","Primary","Vehicles","1"
"02/28/2026","Primary","Service - Ride Time","2"
"02/28/2026","Primary","Driver","1"
"02/28/2026","Broker","Service - Late Pickup","1"
"02/28/2026","Broker","Service - No Shows","1"
"02/27/2026","Non-Transportation","Travel Services (Same Day)","8"
"02/27/2026","Non-Transportation","Travel Planning (Res)","7"
"02/27/2026","Non-Transportation","Scheduling","1"
"02/27/2026","Non-Transportation","Policy","11"
"02/27/2026","Non-Transportation","IT/Technology","6"
"02/27/2026","Non-Transportation","Customer","36"
"02/27/2026","Supplemental","Vehicles","1"
"02/27/2026","Supplemental","Service - Ride Time","2"
"02/27/2026","Supplemental","Service - No Shows","3"
"02/27/2026","Supplemental","Driver","2"
"02/27/2026","Broker","Vehicles","3"
"02/27/2026","Broker","Service - Ride Time","4"
"02/27/2026","Broker","Service - Other","7"
"02/27/2026","Broker","Service - No Shows","57"
"02/27/2026","Broker","Service - Late Pickup","18"
"02/27/2026","Broker","Driver","29"
"02/27/2026","Primary","Service - Ride Time","4"
"02/27/2026","Primary","Service - No Shows","16"
"02/27/2026","Primary","Driver","7"
"02/27/2026","Primary","Service - Late Pickup","2"
"02/27/2026","Other/Unidentified Provider","Vehicles","1"
"02/27/2026","Other/Unidentified Provider","Service - Ride Time","3"
"02/27/2026","Other/Unidentified Provider","Service - Other","6"
"02/27/2026","Other/Unidentified Provider","Service - No Shows","18"
"02/27/2026","Other/Unidentified Provider","Service - Late Pickup","8"
"02/27/2026","Other/Unidentified Provider","Driver","10"
"02/27/2026","Other/Unidentified Provider",,"30"
"02/26/2026","Broker","Service - No Shows","51"
"02/26/2026","Other/Unidentified Provider","Service - Other","1"
"02/26/2026","Other/Unidentified Provider","Service - No Shows","10"
"02/26/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/26/2026","Other/Unidentified Provider","Driver","9"
"02/26/2026","Other/Unidentified Provider",,"11"
"02/26/2026","Non-Transportation","Travel Services (Same Day)","11"
"02/26/2026","Non-Transportation","Travel Planning (Res)","8"
"02/26/2026","Non-Transportation","Scheduling","1"
"02/26/2026","Non-Transportation","Policy","20"
"02/26/2026","Non-Transportation","IT/Technology","5"
"02/26/2026","Non-Transportation","Customer Relations","1"
"02/26/2026","Non-Transportation","Customer","35"
"02/26/2026","Supplemental","Service - Ride Time","1"
"02/26/2026","Supplemental","Service - No Shows","4"
"02/26/2026","Supplemental","Service - Late Pickup","4"
"02/26/2026","Supplemental","Driver","5"
"02/26/2026","Broker","Vehicles","1"
"02/26/2026","Broker","Service - Ride Time","9"
"02/26/2026","Broker","Service - Other","5"
"02/26/2026","Broker","Service - Late Pickup","23"
"02/26/2026","Broker","Driver","30"
"02/26/2026","Primary","Service - Ride Time","11"
"02/26/2026","Primary","Service - No Shows","9"
"02/26/2026","Primary","Service - Late Pickup","1"
"02/26/2026","Primary","Driver","9"
"02/26/2026","Primary",,"1"
"02/25/2026","Primary","Service - No Shows","8"
"02/25/2026","Other/Unidentified Provider","Vehicles","1"
"02/25/2026","Other/Unidentified Provider","Service - Other","3"
"02/25/2026","Other/Unidentified Provider","Service - No Shows","3"
"02/25/2026","Other/Unidentified Provider","Service - Late Pickup","2"
"02/25/2026","Other/Unidentified Provider","Driver","8"
"02/25/2026","Other/Unidentified Provider",,"10"
"02/25/2026","Non-Transportation","Travel Services (Same Day)","2"
"02/25/2026","Non-Transportation","Travel Planning (Res)","4"
"02/25/2026","Non-Transportation","Policy","12"
"02/25/2026","Non-Transportation","IT/Technology","4"
"02/25/2026","Non-Transportation","Eligibility","2"
"02/25/2026","Non-Transportation","Customer","52"
"02/25/2026","Supplemental","Vehicles","1"
"02/25/2026","Supplemental","Service - Ride Time","1"
"02/25/2026","Supplemental","Service - Other","1"
"02/25/2026","Supplemental","Service - No Shows","4"
